shipment_id,order_id,carrier_name,warehouse_id,shipment_date,estimated_delivery_date,actual_delivery_date,shipping_mode,shipment_cost,delay_reason
SHIP-000044,ORD-000834,maersk,wh-56,2025/11/30,Dec 03 2025,2025-12-02,Ocean,19.23,Supplier Stock Shortage
SHIP-000045,ORD-000566,USPS,WH-09,2025-04-08,2025/04/13,2025-04-13,Ground,21.37,Labor Shortage
SHIP-000046,ORD-000906,maersk,WH-38,2026-04-26,May 02 2026,May 01 2026,Ocean,21.34,Supplier Stock Shortage
SHIP-000047,ORD-001726,,WH-17,2026-05-06,May 08 2026,,Express,53.05,Documentation Error
SHIP-000048,ORD-001449,FedEx,WH-18,Apr 06 2025,10-Apr-2025,10-Apr-2025,Air,42.41,
SHIP-000049,ORD-001467,dhl,wh50,Feb 04 2026,2026-02-09,2026/02/09,Air,42.13,Carrier Capacity Shortage
SHIP-000050,ORD-000003,UPS,wh37,Feb 16 2026,2026/02/17,2026/02/22,Ground,18.68,Documentation Error
SHIP-000051,ORD-001484,MAERSK,WH-23,Mar 14 2025,2025-03-15,2025-03-16,Ocean,21.53,Customs Clearance Delay
SHIP-000052,ORD-001248,maersk,WH-40,2025-03-02,2025-03-05,2025-03-04,Ocean,21.8,
SHIP-000053,ORD-000563,,WH-05,2025-11-17,18-Nov-2025,2025-11-25,Air,46.03,Customs Clearance Delay
SHIP-000054,ORD-001110,FEDEX,Warehouse 10,Apr 22 2026,2026/04/22,,Ground,27.89,
SHIP-000055,ORD-001536,FedEx,wh-51,2025/02/18,2025/02/21,2025-02-21,Ground,23.63,Vehicle Breakdown
SHIP-000056,ORD-001122,DHL,WH-30,Apr 24 2026,2026-04-25,2026-04-24,Express,58.31,
SHIP-000057,ORD-001579,FedEx,wh07,2026/04/16,2026-04-20,Apr 24 2026,Ground,24.62,Incorrect Address
SHIP-000058,ORD-000508,ups,Warehouse 16,10-Nov-2025,2025-11-13,2025-11-13,Air,54.91,
SHIP-000059,ORD-001577,BlueDart,WH-25,14-Jul-2025,15-Jul-2025,2025/07/16,Ground,20.16,Customs Clearance Delay
SHIP-000060,ORD-000276,FedEx,Warehouse 28,Mar 22 2025,30-Mar-2025,Mar 28 2025,Express,47.78,Warehouse Processing Backlog
SHIP-000061,ORD-001029,MAERSK,wh-36,2026/05/21,2026-05-27,2026/05/27,Ocean,18.69,Vehicle Breakdown
SHIP-000062,ORD-001310,DHL,WH-30,19-Mar-2025,22-Mar-2025,Mar 22 2025,Express,56.28,
SHIP-000063,ORD-001529,UPS,WH-01,2025/04/14,Apr 19 2025,2025-04-19,Ground,19.28,Labor Shortage
SHIP-000064,ORD-001234,FedEx,WH-51,2025/11/08,14-Nov-2025,13-Nov-2025,Air,43.91,
SHIP-000065,ORD-000986,dhl express,WH-17,2025-05-01,2025/05/03,02-May-2025,Express,59.69,
SHIP-000066,ORD-001039,U.P.S.,wh-24,Mar 16 2026,Mar 22 2026,2026/03/22,Ground,28.91,Carrier Capacity Shortage
SHIP-000067,ORD-000557,U.P.S.,wh-20,2025-12-04,2025-12-05,2025/12/05,Ground,23.43,
SHIP-000068,ORD-001134,ups,wh14,2025-07-14,2025-07-17,2025-07-15,Ground,17.46,Warehouse Processing Backlog
SHIP-000069,ORD-000427,maersk,WH-12,14-Oct-2025,2025/10/17,18-Oct-2025,Ocean,23.37,Weather Disruption
SHIP-000070,ORD-000529,ups,WH-21,Apr 09 2026,09-Apr-2026,Apr 09 2026,Ground,25.21,Warehouse Processing Backlog
SHIP-000071,ORD-000472,Aramex,wh-43,2026-02-02,04-Feb-2026,Feb 06 2026,Express,52.47,Supplier Stock Shortage
SHIP-000072,ORD-001769,Fed Ex,WH-36,2026/01/15,2026-01-21,19-Jan-2026,Air,55.93,
SHIP-000073,ORD-001217,DHL Express,wh27,Apr 18 2026,2026/04/19,2026/04/20,Express,46.74,Port Congestion
SHIP-000074,ORD-000201,,wh01,Aug 08 2025,Aug 11 2025,2025-08-09,Rail,21.25,
SHIP-000075,ORD-000603,dhl express,wh-54,2025-03-13,2025-03-14,2025/03/14,Express,59.48,Incorrect Address
SHIP-000076,ORD-000195,XPO Logistics,wh55,2025-03-08,2025-03-12,,Ground,18.32,Carrier Capacity Shortage
SHIP-000077,ORD-000038,BlueDart,Warehouse 8,2026-05-29,2026-06-01,2026-05-29,Ground,18.02,Supplier Stock Shortage
SHIP-000078,ORD-001188,Maersk Line,wh43,10-Apr-2026,2026-04-13,13-Apr-2026,Ocean,34.49,
SHIP-000079,ORD-001252,dhl,WH-31,2025-05-15,18-May-2025,,Air,52.81,Customs Clearance Delay
SHIP-000080,ORD-000888,UPS,WH-16,2025-07-02,2025-07-04,2025/07/12,Air,60.0,Warehouse Processing Backlog
SHIP-000081,ORD-001011,XPO Logistics,wh11,Mar 10 2026,17-Mar-2026,Mar 18 2026,Rail,28.21,Vehicle Breakdown
SHIP-000082,ORD-000631,DHL,WH-12,2025-02-09,2025-02-12,Feb 17 2025,Air,50.66,Vehicle Breakdown
SHIP-000083,ORD-001167,dhl express,WH-43,17-Jan-2026,19-Jan-2026,Jan 19 2026,Air,65.37,Carrier Capacity Shortage
SHIP-000084,ORD-001332,,WH-19,2026-03-18,2026/03/17,2026-03-19,Air,49.88,Customs Clearance Delay
SHIP-000085,ORD-000264,UPS,WH-07,Mar 18 2025,Mar 21 2025,2025/03/22,Ground,23.76,Port Congestion
SHIP-000086,ORD-001174,Maersk Line,wh31,2025-04-08,Apr 14 2025,2025-04-15,Ocean,26.22,Warehouse Processing Backlog
SHIP-000087,ORD-001629,fedex,WH-52,24-Nov-2025,2025/11/30,,Ground,32.1,
SHIP-000088,ORD-001127,dhl express,Warehouse 5,2025-10-09,2025-10-13,11-Oct-2025,Express,58.72,Supplier Stock Shortage
SHIP-000089,ORD-001190,bluedart,wh-42,Jan 29 2026,02-Feb-2026,Feb 03 2026,Air,45.46,
SHIP-000090,ORD-001799,maersk,WH-24,2025/05/04,May 07 2025,2025/05/05,Ocean,26.18,Vehicle Breakdown
SHIP-000091,ORD-000360,xpo logistics,wh35,2026-02-20,2026-02-20,2026-02-21,Rail,18.37,Supplier Stock Shortage
SHIP-000092,ORD-001717,ups,Warehouse 42,2025-02-21,Feb 22 2025,Feb 23 2025,Ground,24.82,Documentation Error
SHIP-000093,ORD-001696,,WH-43,17-Jan-2026,Jan 24 2026,2026-01-23,Air,43.89,Port Congestion
SHIP-000094,ORD-001191,DHL,WH-39,21-May-2026,2026/05/26,,Air,44.15,Port Congestion
SHIP-000095,ORD-001716,Aramex,wh38,2025/01/31,2025/02/05,Feb 05 2025,Ground,16.14,
SHIP-000096,ORD-000957,Aramex,wh25,2025/06/18,2025-06-17,2025/06/18,Ground,23.59,Supplier Stock Shortage
SHIP-000097,ORD-001057,ups,WH-03,Jul 15 2025,Jul 16 2025,2025-07-17,Ground,26.89,Documentation Error
SHIP-000098,ORD-000722,BlueDart,WH-08,2025-12-14,2025-12-13,,Ground,40.8,Vehicle Breakdown
SHIP-000099,ORD-000448,Fed Ex,WH-41,2025-11-14,Nov 22 2025,2025-11-22,Air,44.98,Weather Disruption
SHIP-000100,ORD-000358,aramex,WH-39,23-Feb-2025,Mar 02 2025,2025-02-28,Express,56.05,
SHIP-000101,ORD-000594,FEDEX,WH-24,Jun 30 2025,Jul 02 2025,2025-07-01,Ground,23.9,
SHIP-000102,ORD-001138,DHL Express,WH-19,2026/03/26,2026-03-27,2026-03-27,Express,58.18,Weather Disruption
SHIP-000103,ORD-001051,dhl express,wh22,Mar 14 2026,2026/03/18,17-Mar-2026,Air,46.75,Documentation Error
SHIP-000104,ORD-000052,DHL,Warehouse 43,22-Feb-2026,2026/02/24,23-Feb-2026,Air,52.97,Incorrect Address
SHIP-000105,ORD-000675,ups,wh23,14-Nov-2025,Nov 20 2025,2025-11-18,Ground,19.64,Documentation Error
SHIP-000106,ORD-000758,dhl express,wh47,Jul 14 2025,Jul 17 2025,2025/07/17,Express,55.49,Incorrect Address
SHIP-000107,ORD-001270,bluedart,wh-36,Feb 03 2026,2026-02-08,2026-02-10,Ground,26.77,Documentation Error
SHIP-000108,ORD-001687,bluedart,WH-42,15-Jul-2025,2025/07/23,2025/07/21,Ground,32.69,Carrier Capacity Shortage
SHIP-000109,ORD-001767,bluedart,WH-37,Jul 01 2025,03-Jul-2025,2025-07-03,Air,53.13,
SHIP-000110,ORD-000976,DHL,Warehouse 41,Nov 28 2025,2025/11/29,,Express,55.35,Weather Disruption
SHIP-000111,ORD-001712,ups,WH-45,2025/12/27,01-Jan-2026,02-Jan-2026,Air,44.15,Vehicle Breakdown
SHIP-000112,ORD-001495,,WH-53,Jun 12 2025,15-Jun-2025,2025/06/14,Ground,42.64,
SHIP-000113,ORD-001810,DHL,WH-14,04-Sep-2025,Sep 07 2025,,Express,51.71,
SHIP-000114,ORD-001230,DHL Express,wh-30,May 04 2025,2025/05/08,May 07 2025,Express,49.6,Documentation Error
SHIP-000115,ORD-000730,U.P.S.,WH-32,07-Aug-2025,2025-08-12,Aug 11 2025,Air,45.16,Carrier Capacity Shortage
SHIP-000116,ORD-001180,BlueDart,WH-57,Mar 02 2026,2026/03/03,2026/03/04,Air,41.98,Incorrect Address
SHIP-000117,ORD-000072,dhl express,WH-29,2025-09-12,13-Sep-2025,2025-09-12,Express,57.69,
SHIP-000118,ORD-000378,U.P.S.,WH-40,2025/11/12,13-Nov-2025,Nov 15 2025,Air,48.31,Carrier Capacity Shortage
SHIP-000119,ORD-000937,usps,wh03,2025-03-12,Mar 17 2025,16-Mar-2025,Ground,23.06,
SHIP-000120,ORD-000632,Blue Dart,wh-23,2026-03-07,2026/03/07,Mar 08 2026,Air,47.72,
SHIP-000121,ORD-000230,FedEx,WH-58,2026/02/28,Mar 03 2026,Mar 03 2026,Ground,21.44,Documentation Error
SHIP-000122,ORD-000830,fedex,WH-24,2025-11-07,2025/11/12,,Express,47.57,
SHIP-000123,ORD-001551,maersk,wh-21,Apr 20 2025,Apr 26 2025,23-Apr-2025,Ocean,26.24,Documentation Error
SHIP-000124,ORD-001019,ARAMEX,wh18,2025/05/10,13-May-2025,May 10 2025,Express,52.88,Documentation Error
SHIP-000125,ORD-001016,,WH-30,28-Mar-2025,Apr 02 2025,2025-04-12,Express,49.1,Warehouse Processing Backlog
SHIP-000126,ORD-001317,DHL Express,WH-29,01-Dec-2025,2025/12/04,,Express,48.1,Weather Disruption
SHIP-000127,ORD-000466,Aramex,WH-23,2025-06-08,Jun 10 2025,2025-06-11,Express,65.77,Labor Shortage
SHIP-000128,ORD-001327,Maersk Line,WH-19,2025-11-07,2025-11-06,Nov 13 2025,Ocean,17.41,Labor Shortage
SHIP-000129,ORD-000611,xpo logistics,wh05,Mar 15 2025,Mar 17 2025,2025/03/17,Ground,22.29,
SHIP-000130,ORD-000364,dhl express,WH-52,2026-04-03,2026/04/07,2026-04-05,Express,58.53,Warehouse Processing Backlog
SHIP-000131,ORD-000705,ARAMEX,wh36,2026-02-23,2026/02/26,2026/03/07,Express,52.47,Weather Disruption
SHIP-000132,ORD-001429,Fed Ex,WH-51,2025-07-02,Jul 09 2025,07-Jul-2025,Express,48.91,
SHIP-000133,ORD-001593,DHL Express,Warehouse 10,16-Dec-2025,2025-12-22,2025-12-23,Air,45.0,Labor Shortage
SHIP-000134,ORD-000117,,WH-54,2025-01-05,12-Jan-2025,2025/01/10,Ground,25.88,
SHIP-000135,ORD-001288,FedEx,wh19,2025-09-09,2025-09-10,12-Sep-2025,Ground,20.97,Warehouse Processing Backlog
SHIP-000136,ORD-001543,bluedart,WH-55,Sep 29 2025,2025-09-30,2025-10-03,Air,43.98,Port Congestion
SHIP-000137,ORD-000141,aramex,wh-59,Apr 10 2025,Apr 12 2025,Apr 13 2025,Express,50.05,Port Congestion
SHIP-000138,ORD-000340,BlueDart,wh07,2025-09-18,2025/09/23,2025-09-21,Air,50.86,Carrier Capacity Shortage
SHIP-000139,ORD-000919,USPS,wh19,2026/04/13,16-Apr-2026,Apr 17 2026,Ground,25.69,Carrier Capacity Shortage
SHIP-000140,ORD-000005,USPS,WH-10,2025-06-13,17-Jun-2025,Jun 19 2025,Ground,27.81,Vehicle Breakdown
SHIP-000141,ORD-001383,DHL Express,WH-26,2025-01-31,2025/02/01,Jan 31 2025,Air,47.09,
SHIP-000142,ORD-000186,ARAMEX,WH-35,Aug 13 2025,2025-08-19,Aug 20 2025,Express,52.82,Labor Shortage
SHIP-000143,ORD-000490,XPO,Warehouse 47,Jan 27 2026,2026/01/28,2026-01-29,Rail,17.18,Weather Disruption
SHIP-000144,ORD-001187,FedEx,WH-30,2025/04/21,2025/04/26,2025-04-26,Ground,22.45,Labor Shortage
SHIP-000145,ORD-001380,ups,wh-35,2025/07/12,Jul 16 2025,17-Jul-2025,Air,41.25,
SHIP-000146,ORD-001257,,WH-15,2026/02/28,06-Mar-2026,,Express,57.2,Weather Disruption
SHIP-000147,ORD-001421,DHL,wh43,Nov 23 2025,2025/11/26,2025/11/26,Express,52.98,
SHIP-000148,ORD-000021,Maersk Line,wh29,2025-06-13,2025-06-15,2025-06-15,Ocean,27.39,
SHIP-000149,ORD-001612,,WH-22,2025/04/05,2025-04-07,05-Apr-2025,Ground,23.96,
SHIP-000150,ORD-000996,dhl,WH-34,Oct 18 2025,21-Oct-2025,2025-10-20,Air,40.52,
SHIP-000151,ORD-001844,UPS,WH-04,2025-11-05,Nov 07 2025,,Ground,25.3,
SHIP-000152,ORD-001518,fedex,WH-01,2025/03/18,Mar 21 2025,2025-03-20,Ground,43.07,
SHIP-000153,ORD-001387,DHL,WH-10,2026/01/21,Jan 21 2026,Jan 21 2026,Air,50.83,Labor Shortage
SHIP-000154,ORD-001581,FedEx,WH-14,2025-05-01,2025-05-08,2025-05-07,Express,60.84,Documentation Error
SHIP-000155,ORD-001770,dhl,Warehouse 55,2025-06-27,Jul 01 2025,,Express,64.48,
SHIP-000156,ORD-000769,ups,WH-46,2026/05/14,May 16 2026,2026/05/18,Air,43.83,Supplier Stock Shortage
SHIP-000157,ORD-000869,XPO,WH-02,2026-05-07,2026-05-10,2026-05-11,Rail,20.32,Incorrect Address
SHIP-000158,ORD-000368,maersk,wh-59,2025/09/23,2025/09/25,27-Sep-2025,Ocean,15.02,Vehicle Breakdown
SHIP-000159,ORD-001652,ARAMEX,WH-40,May 06 2025,2025/05/10,May 08 2025,Express,59.8,Port Congestion
SHIP-000160,ORD-000279,Blue Dart,wh37,2025/04/16,21-Apr-2025,2025-04-21,Ground,20.07,
SHIP-000161,ORD-000373,MAERSK,Warehouse 36,2025/05/25,2025/05/28,2025/05/27,Ocean,18.04,Documentation Error
SHIP-000162,ORD-001574,FEDEX,WH-06,2026/05/20,May 19 2026,,Air,53.51,
SHIP-000163,ORD-000518,XPO Logistics,WH-40,Aug 27 2025,30-Aug-2025,,Rail,25.7,
SHIP-000164,ORD-000300,dhl express,wh-09,2025-09-24,2025-09-28,Sep 30 2025,Express,56.18,Incorrect Address
SHIP-000165,ORD-000180,dhl,WH-12,May 14 2026,2026/05/19,18-May-2026,Air,57.61,
SHIP-000166,ORD-000979,ups,WH-46,2025-05-28,2025-06-03,2025-06-01,Air,53.46,Customs Clearance Delay
SHIP-000167,ORD-001172,BlueDart,WH-16,2025-01-24,Jan 26 2025,Jan 26 2025,Ground,21.02,
SHIP-000168,ORD-000856,bluedart,Warehouse 35,Mar 25 2025,Mar 31 2025,,Ground,18.01,Weather Disruption
SHIP-000169,ORD-000110,U.S.P.S.,WH-46,18-May-2026,2026-05-19,May 19 2026,Ground,19.64,
SHIP-000170,ORD-000664,,WH-19,06-Jul-2025,2025/07/14,2025-07-13,Express,61.01,Warehouse Processing Backlog
SHIP-000171,ORD-001633,DHL,WH-51,Apr 19 2025,24-Apr-2025,Apr 22 2025,Express,57.74,
SHIP-000172,ORD-000371,,Warehouse 25,2026-02-09,2026-02-16,Feb 17 2026,Air,57.73,Incorrect Address
SHIP-000173,ORD-000354,,Warehouse 48,Sep 15 2025,Sep 17 2025,2025-09-16,Ground,27.51,
SHIP-000174,ORD-000432,U.P.S.,wh-29,2025/07/06,2025-07-07,08-Jul-2025,Ground,29.66,Labor Shortage
SHIP-000175,ORD-000718,XPO,WH-36,2025-06-11,15-Jun-2025,13-Jun-2025,Ground,26.1,Weather Disruption
SHIP-000176,ORD-001158,USPS,Warehouse 60,May 06 2025,2025/05/08,,Ground,20.85,Documentation Error
SHIP-000177,ORD-000299,Maersk Line,wh-33,2025-11-05,2025/11/10,10-Nov-2025,Ocean,15.65,Weather Disruption
SHIP-000178,ORD-001471,fedex,wh34,2025/10/26,2025-10-30,Oct 29 2025,Ground,19.68,
SHIP-000179,ORD-000755,maersk,Warehouse 26,Mar 16 2026,2026-03-19,2026-03-20,Ocean,15.87,Documentation Error
SHIP-000180,ORD-001498,DHL,WH-03,2025-05-29,04-Jun-2025,02-Jun-2025,Express,65.01,
SHIP-000181,ORD-001648,ups,wh-32,Feb 07 2026,2026-02-08,Feb 08 2026,Air,52.54,Incorrect Address
SHIP-000182,ORD-001462,dhl,WH-20,2025/12/09,2025-12-15,2025-12-15,Express,54.17,Documentation Error
SHIP-000183,ORD-000147,maersk,Warehouse 2,Aug 02 2025,Aug 06 2025,2025-08-04,Ocean,21.97,Customs Clearance Delay
SHIP-000184,ORD-000242,FEDEX,wh02,2026-01-28,31-Jan-2026,Jan 30 2026,Air,50.86,Documentation Error
SHIP-000185,ORD-001519,FEDEX,Warehouse 49,Feb 27 2026,2026/02/28,2026/02/27,Express,65.97,Labor Shortage
SHIP-000186,ORD-001398,FedEx,WH-24,2026-05-02,05-May-2026,08-May-2026,Ground,22.63,Labor Shortage
SHIP-000187,ORD-000397,DHL Express,WH-06,2025-08-10,2025-08-15,2025-08-15,Air,49.69,Weather Disruption
SHIP-000188,ORD-001183,fedex,Warehouse 4,2025/08/08,2025-08-07,09-Aug-2025,Ground,29.73,Documentation Error
SHIP-000189,ORD-000721,DHL Express,wh-16,2025-08-31,Sep 01 2025,Sep 07 2025,Express,51.81,Labor Shortage
SHIP-000190,ORD-001076,dhl,Warehouse 53,2025/01/16,2025-01-20,,Express,66.95,Weather Disruption
SHIP-000191,ORD-001790,Aramex,wh-36,Sep 21 2025,2025-09-26,Sep 25 2025,Ground,29.3,
SHIP-000192,ORD-000285,U.P.S.,WH-33,2025-06-12,13-Jun-2025,2025-06-14,Ground,19.64,Warehouse Processing Backlog
SHIP-000193,ORD-001527,UPS,WH-56,2026-05-24,May 30 2026,May 29 2026,Ground,40.05,Documentation Error
SHIP-000194,ORD-001157,usps,wh22,23-Dec-2025,2025-12-27,26-Dec-2025,Ground,33.63,Vehicle Breakdown
SHIP-000195,ORD-000507,Blue Dart,wh-32,2025-04-01,Apr 02 2025,2025/04/02,Air,52.24,Port Congestion
SHIP-000196,ORD-001768,FEDEX,WH-39,22-Mar-2025,2025/03/22,2025-03-23,Express,47.77,Warehouse Processing Backlog
SHIP-000197,ORD-000376,XPO,WH-05,26-Oct-2025,2025-10-29,30-Oct-2025,Ground,21.59,Port Congestion
SHIP-000198,ORD-000112,U.P.S.,Warehouse 53,Jan 04 2025,2025/01/12,,Ground,25.23,Warehouse Processing Backlog
SHIP-000199,ORD-001084,DHL Express,WH-28,Dec 10 2025,14-Dec-2025,Dec 13 2025,Express,56.73,
SHIP-000200,ORD-001364,aramex,wh55,2025-10-14,18-Oct-2025,2025/10/20,Express,55.72,Customs Clearance Delay
SHIP-000201,ORD-000142,,wh-51,Feb 13 2026,13-Feb-2026,Feb 14 2026,Ocean,13.62,Incorrect Address
SHIP-000202,ORD-001588,,WH-55,2025/09/25,26-Sep-2025,Sep 26 2025,Ground,22.88,Port Congestion
SHIP-000203,ORD-000352,XPO,WH-07,2025-08-18,2025-08-24,2025/08/25,Ground,23.42,Warehouse Processing Backlog
SHIP-000204,ORD-000325,UPS,WH-53,2025-12-17,2025-12-19,20-Dec-2025,Air,40.37,
SHIP-000205,ORD-001568,Maersk Line,WH-60,2025-10-28,29-Oct-2025,01-Nov-2025,Ocean,23.17,
SHIP-000206,ORD-001617,maersk,wh57,26-Jan-2026,2026-01-29,2026/01/30,Ocean,32.3,Incorrect Address
SHIP-000207,ORD-001086,Fed Ex,WH-56,03-Jun-2025,2025-06-09,2025-06-10,Express,54.82,Documentation Error
SHIP-000208,ORD-001339,aramex,Warehouse 32,17-Nov-2025,Nov 24 2025,2025/11/24,Ground,28.32,
SHIP-000209,ORD-000790,ARAMEX,WH-20,Jan 06 2026,Jan 08 2026,2026-01-08,Ground,19.72,Port Congestion
SHIP-000210,ORD-001123,fedex,WH-13,2026-02-18,21-Feb-2026,2026-02-20,Ground,26.54,
SHIP-000211,ORD-000904,fedex,WH-50,04-Nov-2025,2025-11-07,2025-11-06,Ground,26.67,
SHIP-000212,ORD-000639,,WH-05,2026/04/30,02-May-2026,2026-05-02,Ground,32.43,Vehicle Breakdown
SHIP-000213,ORD-001655,XPO Logistics,wh51,2025-12-08,Dec 09 2025,2025-12-09,Ground,34.41,Customs Clearance Delay
SHIP-000214,ORD-000682,fedex,Warehouse 27,2025/07/05,Jul 08 2025,2025/07/15,Ground,28.22,Warehouse Processing Backlog
SHIP-000215,ORD-000545,FedEx,WH-52,Jul 04 2025,11-Jul-2025,2025-07-10,Ground,20.96,Supplier Stock Shortage
SHIP-000216,ORD-001565,bluedart,wh41,28-May-2026,May 27 2026,2026-05-29,Air,44.8,Vehicle Breakdown
SHIP-000217,ORD-000439,dhl express,WH-25,2025-10-21,Oct 25 2025,2025/10/25,Express,65.3,
SHIP-000218,ORD-000526,U.S.P.S.,wh29,2026/02/13,2026/02/18,2026/02/21,Ground,17.53,Documentation Error
SHIP-000219,ORD-000450,FEDEX,WH-23,2025/10/23,2025-10-24,2025/10/26,Ground,18.93,Documentation Error
SHIP-000220,ORD-000341,dhl,WH-46,2025-12-14,14-Dec-2025,14-Dec-2025,Air,45.56,Weather Disruption
SHIP-000221,ORD-000612,USPS,Warehouse 60,Feb 10 2025,13-Feb-2025,2025/02/11,Ground,27.63,Labor Shortage
SHIP-000222,ORD-001447,dhl express,wh-35,23-Mar-2025,Mar 29 2025,Mar 30 2025,Express,67.89,Port Congestion
